Date, Time, AvgTemp, AvgHum, S1Temp, S1Hum, S2Temp, S2Hum, S3Temp, S3Hum 
12/03/2019, 00:00:01 , 21.27,24.30,21.10,25.10,21.20,24.00,21.50,23.80
12/03/2019, 00:01:05 , 21.30,24.27,21.20,25.10,21.20,24.00,21.50,23.70
12/03/2019, 00:02:06 , 21.30,24.27,21.20,25.10,21.20,24.00,21.50,23.70
12/03/2019, 00:03:08 , 21.27,24.27,21.10,25.10,21.20,24.00,21.50,23.70
12/03/2019, 00:04:10 , 21.27,24.30,21.10,25.10,21.20,24.00,21.50,23.80
12/03/2019, 00:05:11 , 21.27,24.30,21.10,25.10,21.20,24.00,21.50,23.80
12/03/2019, 00:06:15 , 21.23,24.27,21.10,25.10,21.20,24.00,21.40,23.70
12/03/2019, 00:07:17 , 21.27,24.27,21.10,25.10,21.20,24.00,21.50,23.70
12/03/2019, 00:08:19 , 21.27,24.27,21.10,25.10,21.20,24.00,21.50,23.70
12/03/2019, 00:09:25 , 21.27,24.30,21.10,25.10,21.20,24.00,21.50,23.80
12/03/2019, 00:10:27 , 21.27,24.33,21.10,25.20,21.20,24.00,21.50,23.80
12/03/2019, 00:11:29 , 21.27,24.30,21.10,25.10,21.20,24.00,21.50,23.80
12/03/2019, 00:12:30 , 21.23,24.27,21.10,25.10,21.20,24.00,21.40,23.70
12/03/2019, 00:13:32 , 21.27,24.30,21.10,25.10,21.20,24.00,21.50,23.80
12/03/2019, 00:14:34 , 21.30,24.33,21.20,25.20,21.20,24.00,21.50,23.80
12/03/2019, 00:15:35 , 21.23,24.23,21.10,25.10,21.10,23.90,21.50,23.70
12/03/2019, 00:16:37 , 21.27,24.30,21.10,25.10,21.20,24.00,21.50,23.80
12/03/2019, 00:17:41 , 21.30,24.30,21.20,25.10,21.20,24.00,21.50,23.80
12/03/2019, 00:18:43 , 21.27,24.30,21.10,25.10,21.20,24.00,21.50,23.80
12/03/2019, 00:19:44 , 21.27,24.30,21.20,25.20,21.10,23.90,21.50,23.80
12/03/2019, 00:20:46 , 21.23,24.23,21.10,25.10,21.10,23.90,21.50,23.70
12/03/2019, 00:21:47 , 21.23,24.27,21.10,25.10,21.20,24.00,21.40,23.70
12/03/2019, 00:22:49 , 21.27,24.30,21.10,25.10,21.20,24.00,21.50,23.80
12/03/2019, 00:23:51 , 21.27,24.30,21.10,25.10,21.20,24.00,21.50,23.80
12/03/2019, 00:24:52 , 21.23,24.33,21.10,25.20,21.10,24.00,21.50,23.80
12/03/2019, 00:25:54 , 21.27,24.30,21.10,25.10,21.20,24.00,21.50,23.80
12/03/2019, 00:26:56 , 21.27,24.27,21.10,25.10,21.20,24.00,21.50,23.70
12/03/2019, 00:28:00 , 21.27,24.27,21.10,25.10,21.20,24.00,21.50,23.70
12/03/2019, 00:29:04 , 21.27,24.23,21.10,25.10,21.20,23.90,21.50,23.70
12/03/2019, 00:30:06 , 21.23,24.23,21.10,25.10,21.10,23.90,21.50,23.70
12/03/2019, 00:31:07 , 21.23,24.27,21.10,25.10,21.20,24.00,21.40,23.70
12/03/2019, 00:32:09 , 21.23,24.23,21.10,25.10,21.10,23.90,21.50,23.70
12/03/2019, 00:33:10 , 21.27,24.27,21.10,25.10,21.20,24.00,21.50,23.70
12/03/2019, 00:34:12 , 21.27,24.27,21.10,25.10,21.20,24.00,21.50,23.70
12/03/2019, 00:35:14 , 21.27,24.27,21.10,25.10,21.20,24.00,21.50,23.70
12/03/2019, 00:36:15 , 21.27,24.27,21.10,25.10,21.20,24.00,21.50,23.70
12/03/2019, 00:37:17 , 21.27,24.30,21.10,25.10,21.20,24.00,21.50,23.80
12/03/2019, 00:38:24 , 21.20,24.23,21.10,25.10,21.10,23.90,21.40,23.70
