Date,Time,AvgTemp,AvgHum,S1Temp,S1Hum,S2Temp,S2Hum,S3Temp,S3Hum
01/29/2020, 00:00:31 , 20.90,23.50,20.90,24.20,20.90,22.80,0.00,0.00
01/29/2020, 00:06:20 , 20.90,23.50,20.90,24.20,20.90,22.80,0.00,0.00
01/29/2020, 00:12:09 , 20.90,23.50,20.90,24.20,20.90,22.80,0.00,0.00
01/29/2020, 00:17:58 , 20.90,23.50,20.90,24.20,20.90,22.80,0.00,0.00
01/29/2020, 00:23:47 , 20.90,23.30,20.90,24.00,20.90,22.60,0.00,0.00
01/29/2020, 00:29:36 , 20.90,23.40,20.90,24.10,20.90,22.70,0.00,0.00
01/29/2020, 00:35:25 , 20.90,23.50,20.90,24.20,20.90,22.80,0.00,0.00
01/29/2020, 00:41:14 , 20.90,23.60,20.90,24.30,20.90,22.90,0.00,0.00
01/29/2020, 00:47:03 , 20.90,23.65,20.90,24.30,20.90,23.00,0.00,0.00
01/29/2020, 00:52:52 , 20.90,23.70,20.90,24.40,20.90,23.00,0.00,0.00
01/29/2020, 00:58:41 , 20.90,23.60,20.90,24.30,20.90,22.90,0.00,0.00
01/29/2020, 01:04:30 , 20.90,23.60,20.90,24.30,20.90,22.90,0.00,0.00
01/29/2020, 01:10:22 , 20.90,23.65,20.90,24.30,20.90,23.00,0.00,0.00
01/29/2020, 01:16:16 , 20.90,23.65,20.90,24.30,20.90,23.00,0.00,0.00
01/29/2020, 01:22:05 , 20.90,23.70,20.90,24.40,20.90,23.00,0.00,0.00
01/29/2020, 01:27:54 , 20.90,23.75,20.90,24.40,20.90,23.10,0.00,0.00
01/29/2020, 01:33:43 , 20.90,23.80,20.90,24.50,20.90,23.10,0.00,0.00
01/29/2020, 01:39:32 , 20.90,23.75,20.90,24.40,20.90,23.10,0.00,0.00
01/29/2020, 01:45:21 , 20.90,23.70,20.90,24.40,20.90,23.00,0.00,0.00
01/29/2020, 01:51:10 , 20.90,23.75,20.90,24.40,20.90,23.10,0.00,0.00
01/29/2020, 01:56:59 , 20.90,23.70,20.90,24.40,20.90,23.00,0.00,0.00
01/29/2020, 02:02:48 , 20.90,23.75,20.90,24.40,20.90,23.10,0.00,0.00
01/29/2020, 02:08:37 , 20.90,23.80,20.90,24.50,20.90,23.10,0.00,0.00
01/29/2020, 02:14:26 , 20.90,23.75,20.90,24.40,20.90,23.10,0.00,0.00
01/29/2020, 02:20:15 , 20.90,23.75,20.90,24.40,20.90,23.10,0.00,0.00
01/29/2020, 02:26:04 , 20.90,23.75,20.90,24.40,20.90,23.10,0.00,0.00
01/29/2020, 02:31:56 , 20.90,23.70,20.90,24.40,20.90,23.00,0.00,0.00
01/29/2020, 02:37:45 , 20.90,23.70,20.90,24.40,20.90,23.00,0.00,0.00
01/29/2020, 02:43:34 , 20.90,23.60,20.90,24.30,20.90,22.90,0.00,0.00
01/29/2020, 02:49:23 , 20.90,23.70,20.90,24.40,20.90,23.00,0.00,0.00
01/29/2020, 02:55:12 , 20.85,23.70,20.80,24.40,20.90,23.00,0.00,0.00
01/29/2020, 03:01:01 , 20.90,23.70,20.90,24.40,20.90,23.00,0.00,0.00
01/29/2020, 03:06:50 , 20.90,23.65,20.90,24.30,20.90,23.00,0.00,0.00
01/29/2020, 03:12:39 , 20.90,23.60,20.90,24.30,20.90,22.90,0.00,0.00
01/29/2020, 03:18:28 , 20.90,23.50,20.90,24.20,20.90,22.80,0.00,0.00
01/29/2020, 03:24:17 , 20.85,23.55,20.80,24.20,20.90,22.90,0.00,0.00
01/29/2020, 03:30:06 , 20.90,23.65,20.90,24.30,20.90,23.00,0.00,0.00
01/29/2020, 03:35:55 , 20.90,23.65,20.90,24.30,20.90,23.00,0.00,0.00
01/29/2020, 03:41:44 , 20.90,23.60,20.90,24.30,20.90,22.90,0.00,0.00
